description,theme
"""H2020 2016-17 Work Programme update (European Commission Decision C(2016)1349 of 9 March 2016)The first part of the section ""Scope"" of topic EE-16 has been updated. The part ""that focus on building up the monitoring, verification and enforcement of the EU's energy-related products policy, in particular for those products that represent the highest energy saving potential (e.g. electric motors, water and space heating and cooling equipment, lighting) or those newly regulated products that represent new challenges for market surveillance because of the size and complexity of the products (e.g. power transformers, professional refrigerating and freezing equipment, large industrial products)"" has been removed and the text updated as follows ""Scope: Provide support for joint surveillance actions. Proposals should focus on building up the monitoring, verification and enforcement of the EU's energy-related products policy, in particular for those products that represent the highest energy saving potential and with lower compliance rates or those regulated products that represent new challenges for market surveillance (e.g. newly regulated products or ones where new challenges arise such as suspected use of defeat devices) and therefore may require new approaches and methods for monitoring, verification and enforcement.""The following sentence has been added ""Proposals should consider the use of databases to record actions' results on specific product models, notably existing databases used by market surveillance authorities and/or developed in previous EU-funded work."" The first part of footnote 47 has been updated from ""The market surveillance authorities are the authorities of the Member States"" to ""The market surveillance authorities are the authorities of the EU Member States, of the EEA EFTA states (Norway, Iceland and Liechtenstein) and of the Customs Union with the EU (Turkey)"".ENERGY EFFICIENCY INFO DAY OPENS REGISTRATION: WANT TO KNOW MORE ABOUT THE CALL WITH DEADLINE SEPTEMBER 2016? 
Be among the 500 participants coming from SMEs, associations, businesses, European and national trade associations, chambers of commerce and European institutions expected at the event on 8th December 2015. How to apply for funding? What are the Energy Efficiency priorities of the H2020 2016 call for proposals deadline 15 September 2016? If you are asking these questions or if you want to network and raise questions to the EASME team during the dedicated information sessions, please register for theInfo Day. If you can't make it to Brussels the event will be live web streamed.
 ""","""theme"""
"""H2020 2016-17 Work Programme update (European Commission Decision C(2016)1349 of 9 March 2016)In the section ""Scope"", after the sentence ""Actions could either propose innovative technologies for the efficient recovery of waste heat in large industrial systems or innovative solutions of energy symbiosis between industries or plants inside industrial parks for the valorisation of waste and residual heat"", the following sentence has been added: ""In 2017, only one or the other should be addressed by the proposed actions.""In the section ""Scope"", in the first line of the last bullet point was removed the sentence ""in a laboratory scale"".
 ""","""theme"""
"""H2020 2016-17 Work Programme update (European Commission Decision C(2016)1349 of 9 March 2016)In the section ""Scope"", after the sentence ""Actions could either propose innovative technologies for the efficient recovery of waste heat in large industrial systems or innovative solutions of energy symbiosis between industries or plants inside industrial parks for the valorisation of waste and residual heat"", the following sentence has been added: ""In 2017, only one or the other should be addressed by the proposed actions.""In the section ""Scope"", in the first line of the last bullet point was removed the sentence ""in a laboratory scale"".
 ""","""theme"""
"""Energy represents an important part of enterprises' production costs even for non-energy intensive industries, and the availability of affordable, easy to access, energy services is one of the key business development enabler and competitiveness factor. Industrial parks play an important role in the European economy and the improvement of their energy efficiency is the main challenge of this topic. Optimising their energy efficiency can be obtained by stimulating and facilitating energy cooperation among businesses. Such cooperation can be done via clustering buildings and processes, by energy exchange, collective production and joint contracting of mutualised energy services. However, there are a number of barriers that hinder the development of energy cooperation of neighbouring businesses. These barriers are mostly organisational, financial, legal, social and technical.The use of joint contracting of mutualised energy services is a promising model for industrial parks, especially when businesses are not energy intensive and when they don't have the time, expertise and financial resources to develop such energy cooperation. In that sense, energy services companies have a role to play in providing businesses with high-value services in the form of e.g. heating, electricity, cooling, to master a modern, environmentally friendly, renewable based and energy efficient system in industrial parks relying on the latest technologies and solutions (e.g. highly efficient, renewable and waste/residual recovery based systems, demand response, energy cascades).Proposals should improve the energy efficiency of industrial parks (or neighbouring businesses) by unlocking the market potential for energy cooperation and by supporting the demand and offer of mutualised high-quality energy services.Proposals should address at least one of the following aspects:Proposals should address legal issues in order to adapt regulatory and legal frameworks at the local, regional and national context. Proposals should also have a cross-cutting perspective and a strong communication and dissemination component to reach as many industries, industrial parks manager and ESCOs as possible and to break the industrial cultural perception of mutualised energy services and energy cooperation.The Commission considers that proposals requesting a contribution from the EU of between EUR 1 and 2 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Proposed actions are expected to demonstrate the impacts listed below (wherever possible, use quantified indicators and targets), depending on the scope of the proposal:""","""theme"""
"""H2020 2016-17 Work Programme update (European Commission Decision C(2016)1349 of 9 March 2016)In the section ""Scope"" the sentence ""Proposals should actively use the Procurement of Innovation Platform supported by the European Commission"" has been updated to ""Proposals may use the Procurement of Innovation Platform supported by the European Commission"".""","""theme"""
"""Following the increasing demand for cloud computing, big data, Internet of Things, dematerialization of documents and other ICT services, the demand for ICT processing is expected to grow exponentially in the coming years. Data centres should become more energy efficient and should maximise integration of renewable energy sources. Intermittent renewable energy sources need to be combined with energy storage (electricity or cold/heat) to ensure efficient and secure energy management in data centres. In addition, existing and new data centres should be better integrated into the various energy grids (electricity and/or heat) in order to turn their energy use and waste into a benefit for the whole energy system. Previous research activities in this area have identified a wide array of innovative solutions and concepts. However, further research and development activities are needed to bring them to the market. Speeding up the time-to-market of these promising solutions is the main challenge under this topic.Innovation Actions are needed to increase the energy efficiency, the use of renewable energy sources and integration of data centres in the energy system. Proposals should cover several following areas: innovative and energy efficient cooling solutions, waste heat reuse, geographical and temporal workload balance, integration of local and remote renewable energy sources, integration in smart grids, integration with district heating/cooling networks, integration of power backup system in the grid and use of heat pumps for efficient use of waste heat etc. Proposals should include the development of business models to trade heat, cold, electricity or energy security and storage. Proposals should build upon the results of previous projects such as the ones funded under the FP7-Smartcities Call 2013 (namely RenewIT, DC4Cities, Dolfin, Genic, GreenDataNet, GEYSER). Proposals should focus on new and existing data centres (indicatively from 500 kW to 1 MW IT load).The Commission considers that proposals requesting a contribution from the EU of between EUR 2 and 3 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Proposals are expected to demonstrate the impacts listed below (wherever possible, use quantified indicators and targets):[1]Power usage effectiveness (PUE) is a measure of how efficiently a computer data centre uses energy; PUE=total facility energy/IT equipment energy""","""theme"""
"""The challenge for the European industry is to develop a global technological leadership in energy efficiency solutions. The EU-funding alone will not be sufficient to ensure an increase in energy efficiency in the process industry by 20% in 2020 and to radically reduce the energy content of production, leading to more flexible, less costly manufacturing processes and for self-consumption. Therefore the Member States and Associated Countries are invited through this action to identify Joint Actions in this field, to implement joint activities, and to systemically address the non-technology barriers for wider uptake of energy efficiency.The proposed ERA-NET action aims at development and launch of a joint call for proposals in the field of energy efficiency in Industry and Services. Proposals should pool the necessary financial resources from the participating national (or regional) research programmes with a view to implementing a joint call for proposals resulting in grants to third parties with EU co-funding in this area. The joint call should focus around a limited number of industrial sectors, not covered under SPIRE. The projects financed by the joint call should cover either industrial sectors with very energy intensive industrial processes or industrial sectors with large energy consumption due to their market presence, though their industrial processes are not highly energy intensive. Further, they should cover industrial sectors with innovative potential and willingness/readiness to implement energy efficiency measures at a meaningful scale. Finally, the size of the addressed industrial sectors in EU and/or their benefits for the EU economy need to be taken into account. The joint call should address Innovation Actions and include the elements related to persistent market barriers. Proposals should demonstrate how the proposed activities will be continued commercially beyond the project lifetime. Involvement of relevant multiplier organisations is encouraged. The ERA-NET action will be implemented according to the three reporting periods scheme.The Commission considers that proposals requesting a contribution from the EU of around EUR 5 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.The ERA-NET action will indicate the specific impact resulting from the transnational nature of the action and the European added value. Deliverables of each of the projects financed by the joint call will be included in the reports of the ERA-NET action to the European Commission. The projects financed by the joint call are expected to demonstrate the impacts in terms of primary energy savings triggered by the project within its duration (in GWh/year per million Euro of EU funding). They are also expected to contribute to the objectives of the EU Energy Efficiency policies and initiatives. Finally, they will include ad-hoc indicators to measure the progress against specific objectives of their choice, which could be used to assess the progress during the ERA-NET action life time.""","""theme"""
"""H2020 2016-17 Work Programme update (European Commission Decision C(2016)1349 of 9 March 2016)In the section ""Scope"" the sentence ""The proposed investments will be launched before the end of the action which means that the project should result in signed contracts"" has been updated to ""The proposed investments will be launched before the end of the action which means that projects should result in signed contracts"".In the section ""Impacts"", the first bullet point ""Delivery of a series of sustainable energy investment projects and innovative financing solutions schemes"" has been updated to ""Delivery of a series of sustainable energy investment projects and innovative financing solutions and/or schemes"".ENERGY EFFICIENCY INFO DAY OPENS REGISTRATION: WANT TO KNOW MORE ABOUT THE CALL WITH DEADLINE SEPTEMBER 2016? 
Be among the 500 participants coming from SMEs, associations, businesses, European and national trade associations, chambers of commerce and European institutions expected at the event on 8th December 2015. How to apply for funding? What are the Energy Efficiency priorities of the H2020 2016 call for proposals deadline 15 September 2016? If you are asking these questions or if you want to network and raise questions to the EASME team during the dedicated information sessions, please register for theInfo Day. If you can't make it to Brussels the event will be live web streamed.
 ""","""theme"""
"""H2020 2016-17 Work Programme update (European Commission Decision C(2016)1349 of 9 March 2016)In the section ""Scope"" the sentence ""The proposed investments will be launched before the end of the action which means that the project should result in signed contracts"" has been updated to ""The proposed investments will be launched before the end of the action which means that projects should result in signed contracts"".In the section ""Impacts"", the first bullet point ""Delivery of a series of sustainable energy investment projects and innovative financing solutions schemes"" has been updated to ""Delivery of a series of sustainable energy investment projects and innovative financing solutions and/or schemes"".ENERGY EFFICIENCY INFO DAY OPENS REGISTRATION: WANT TO KNOW MORE ABOUT THE CALL WITH DEADLINE SEPTEMBER 2016? 
Be among the 500 participants coming from SMEs, associations, businesses, European and national trade associations, chambers of commerce and European institutions expected at the event on 8th December 2015. How to apply for funding? What are the Energy Efficiency priorities of the H2020 2016 call for proposals deadline 15 September 2016? If you are asking these questions or if you want to network and raise questions to the EASME team during the dedicated information sessions, please register for theInfo Day. If you can't make it to Brussels the event will be live web streamed.
 ""","""theme"""
"""H2020 2016-17 Work Programme update (European Commission Decision C(2016)1349 of 9 March 2016)In the section ""Specific challenge"" the text ""and include for example replication of previously demonstrated successful financing models such as dedicated credit lines, guarantee facilities, on-bill financing schemes (e.g. utility-financed), or factoring/forfaiting schemes; on-bill or on-tax financing schemes citizen financing (e.g. crowd-funding) for energy efficiency;"" has been updated to ""and include for example replication of previously demonstrated successful financing models such as dedicated credit lines; guarantee facilities; factoring/forfaiting schemes; on-bill (e.g. utility-financed) or on-tax financing schemes;"".""","""theme"""
"""ENERGY EFFICIENCY INFO DAY OPENS REGISTRATION: WANT TO KNOW MORE ABOUT THE CALL WITH DEADLINE SEPTEMBER 2016? 
Be among the 500 participants coming from SMEs, associations, businesses, European and national trade associations, chambers of commerce and European institutions expected at the event on 8th December 2015. How to apply for funding? What are the Energy Efficiency priorities of the H2020 2016 call for proposals deadline 15 September 2016? If you are asking these questions or if you want to network and raise questions to the EASME team during the dedicated information sessions, please register for theInfo Day. If you can't make it to Brussels the event will be live web streamed.
 ""","""theme"""
"""ENERGY EFFICIENCY INFO DAY OPENS REGISTRATION: WANT TO KNOW MORE ABOUT THE CALL WITH DEADLINE SEPTEMBER 2016? 
Be among the 500 participants coming from SMEs, associations, businesses, European and national trade associations, chambers of commerce and European institutions expected at the event on 8th December 2015. How to apply for funding? What are the Energy Efficiency priorities of the H2020 2016 call for proposals deadline 15 September 2016? If you are asking these questions or if you want to network and raise questions to the EASME team during the dedicated information sessions, please register for theInfo Day. If you can't make it to Brussels the event will be live web streamed.
 ""","""theme"""
"""ENERGY EFFICIENCY INFO DAY OPENS REGISTRATION: WANT TO KNOW MORE ABOUT THE CALL WITH DEADLINE SEPTEMBER 2016? 
Be among the 500 participants coming from SMEs, associations, businesses, European and national trade associations, chambers of commerce and European institutions expected at the event on 8th December 2015. How to apply for funding? What are the Energy Efficiency priorities of the H2020 2016 call for proposals deadline 15 September 2016? If you are asking these questions or if you want to network and raise questions to the EASME team during the dedicated information sessions, please register for theInfo Day. If you can't make it to Brussels the event will be live web streamed.
 ""","""theme"""
"""Innovation is fostered when new ideas can emerge and easily translate into socio-economic value. Working together, partners with complementary backgrounds, knowledge and skills, and in new and established value-chains, can turn these ideas into sustainable innovative products, processes and services that both address societal challenges and/or are highly competitive in global markets. FTI aims to accelerate this commercialisation process by providing extended funding opportunities through an open and agile scheme nurturing bottom-up ideas from innovative constituencies across Europe.The FTI pilot supports projects undertaking innovation from the demonstration stage through to market uptake, including stages such as piloting, test-beds, systems validation in real world/working conditions, validation of business models, pre-normative research, and standard-setting. It targets relatively mature new technologies, concepts, processes and business models that need a last development step to reach the market and achieve wider deployment. To this end, if a proposal involves technological innovation, the consortium must declare that the technology or the technologies concerned are at least at Technology Readiness Level (TRL) 6, where appropriate [1] . Projects can be interdisciplinary.Proposals must relate to any field under the specific objective ""Leadership in enabling and industrial technologies"" and/or to any of the specific objectives under the priority ""Societal challenges""[2].Proposals should specify the intended outcome of the project and describe its key performance indicators/success criteria.Proposals must also include a business plan clearly describing the market potential (potential users/customers and benefits for them; targeted European/global markets, etc.), the business opportunities for participants, measures to enhance the probability of eventual commercial take-up and a credible commercialisation strategy that identifies next steps and specifies other actors to be involved. Particular attention should be paid to IP protection and ownership and to the possibility of commercial exploitation ('freedom to operate').The expected impact should be clearly described in both qualitative and quantitative terms. Factors such as time sensitivity and the international competitive situation should be considered in the light of the technology/innovation fields and industry sectors concerned. Possible impacts on sustainability or climate change, in particular, or on other cross-cutting objectives of Horizon 2020[3], should also be highlighted.Consortia must involve participation from industry. Universities, research and technology organisations and further innovation actors may also participate. Actors that can play a key role in the commercialisation process are encouraged to take part, such as cluster organisations, end-users, industrial associations, incubators, investors, or the public sector. First-time industry applicants[4] and SMEs are particularly welcome.[1]For a definition of TRL, see Part G of the General Annexes.[2]For proposals which fall under the ""Secure Societies"" societal challenge, an additional specific procedure may apply (see Participant Portal – H2020 Grant Manuals – Horizontal issues – Security Issues).[3]Please see Article 14 of the Horizon 2020 Regulation: http://ec.europa.eu/research/participants/data/ref/h2020/legal_basis/fp/h2020-eu-establact_en.pdf[4]In the context of the FTI pilot, a ""first-time industry applicant"" means a legal entity that is a private, for-profit organisation that has obtained a PIC (Participant Identification Code) for the first time under Horizon 2020. See step 4 of http://ec.europa.eu/research/participants/portal/desktop/en/funding/""","""theme"""
"""The importance of the areas of the often time- and safety-critical embedded and cyber-physical systems (CPS) will continue to grow with the increasing pervasiveness of ICT and the development of the Internet of Things. The challenge is to design, programme and implement highly distributed and connected digital technologies that are embedded in a multitude of increasingly autonomous physical systems with various dynamics and satisfying multiple critical constraints including safety, security, power efficiency, high performance, size and cost. Such combination of several cyber-physical systems in ""system of systems"" gives rise to unpredictable behaviour and emergent properties. A significant improvement in design and programming of CPS is therefore needed including a ""science of system integration"".a. Research and Innovation Actions - Science of system integration: Research and Innovation projects should address new model-centric and predictive engineering methods and tools for cyber-physical systems and systems of systems with a high degree of autonomy ensuring adaptability, scalability, complexity management, security and safety, and providing trust to humans in the loop. Work should be driven by industrial needs and validated in at least two use cases complementing each other in different application domains and sectors. Results should be integrated into broader development environments and middleware. The centre of gravity of the work should be on TRLs 1-4, with demonstrations up to level 5.The Commission considers that proposals requesting a contribution from the EU up to EUR 5 million would allow this area to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.b. Coordination and Support Actions for structuring of constituencies, strategically updating and validating CPS roadmaps, cooperating with other European programmes such as ECSEL and ITEA on the foundations of CPS engineering, promoting platform building and pre-normative activities (such as a repository of CPS technology blocks) and consensus-building on societal and legal issues related to the deployment of CPS.Proposals are expected to bring together leading CPS experts from academia and industry to collaborate on future CPS architectures and platforms.The Commission considers that proposals requesting a contribution from the EU up to EUR 1 million would allow this area to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Proposals should address one or more of the following impact criteria, providing metrics to measure success when appropriate.""","""theme"""
"""Thin, Organic and Large Area Electronics (TOLAE) is an emerging technology with high growth potential, well suited for applications that need large area and/or flexibility or stretchability. To be able to fully benefit from the opportunities brought by this technology and widen the scope of its applications, improvements are sought on features such as reliability, manufacturability and performance. The main challenge is to develop and also demonstrate prototypes of innovative TOLAE-enabled solutions with the above characteristics. This can be addressed in two complementing ways, hybrid integration bringing new opportunities for traditional electronics on flexible substrates and improving readiness of TOLAE technologies for use in dedicated applications.a. Research and Innovation ActionsAdvancing the readiness of TOLAE technologies and/or hybrid integration for use in applications. Actions will address the development of advanced materials, technologies and scalable manufacturing processes (ranging from vacuum deposition to printing under ambient conditions) and/or the hybrid integration of micro/nano-electronics (including thin silicon) and photonics components. Focus is on conformable, flexible or stretchable substrates (such as paper, plastic, metal foil, glass or textile). The goal is to have reliable TOLAE-enabled devices with more functionality, better performance and longer lifetime that are ready for use in applications with high growth or high volume potential.Actions may include related work on design and modelling tools in particular addressing variability issues in printing, interfacing of hybrid integration and reliability. Work could also address specific needs for textile electronics.Actions should demonstrate strong industrial and user commitment, be driven by user requirements and include validation of the results for the chosen applications. They should include standardisation and address the value chain, as appropriate.The Commission considers that proposals requesting a contribution from the EU of between EUR 2 and 4 million would allow this area to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.b. Innovation ActionsProposals should cover one or both of the following themes:The objective of the pilot line is to provide design and development services in particular for SMEs. Focus is on manufacturing of Hybrid Systems where conventional micro-/nano-electronics and photonic components are integrated on flexible substrates. The action should be driven by stakeholders able to set-up and run the pilot line. Proposals should describe the business cases and exploitation strategy for the industrialisation of the pilot line and the pilot line should be open access by offering services to external users under fair conditions. There should be a strong commitment to manufacturing in Europe. The pilot line could make use of existing (research or industrial) pilot lines.The objective is to develop and demonstrate innovative product prototypes enabled by TOLAE technologies in automotive, healthcare, smart packaging and buildings[1]. Proposals may include small scale pilot manufacturing.The action should build a dedicated innovation value chain (preferably covering the full value chain).The action should target medium- to high-volume markets, be driven by concrete business cases and address user needs. They should include exploitation strategies for the targeted products with strong commitment to industrialise and manufacture them in Europe.The Commission considers that proposals requesting a contribution from the EU of between EUR 2 and 8 million would allow this area to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts. In case of proposals covering one theme, one action for each theme will be selected.Proposals should describe how the proposed work will contribute to one or more of the following impact criteria, as appropriate, and provide metrics, the baseline and targets to measure impact.a. Research and Innovation Actionsb. Innovation Actions[1]Demonstration of wearable solutions for healthcare and well-being are addressed under topic IoT-01 Large Scale Pilots.""","""theme"""
"""The challenge is to be able to develop and manufacture smart objects and systems that closely integrate sensors, actuators, innovative MEMS, processing power, embedded memory and communication capabilities, all optimising the use of supply power. This will require technology breakthroughs notably in integration, miniaturisation with additional functionalities and mastering complexity. This will result in highly reliable, resilient and resource efficient digital and heterogeneous smart objects and systems that could easily be made interoperable within systems of systems. As dependency on these smart objects and systems increases, reliability and security will become critical differentiating factors as well as low power consumption, energy harvesting and the capability to operate under various and harsh conditions.a. Research and Innovation ActionsThe aim is to make technological breakthroughs and their validation in laboratory environments of the next generations of miniaturised smart integrated systems, including micro-nano-bio systems (MNBS). Proposals are expected to address the integration of new or most advanced technologies such as micro and nano-electronic, micro-and nano-electro-mechanical, micro-fluidic, magnetic, photonics, bio-chemical and microwave and related materials in miniaturised and highly reliable multi-functional smart integrated systems.Proposals will address industrial-relevant technological developments, modelling and validation that will enable solutions in particular for health and well-being, automotive, food, telecommunication, safety and security, environmental monitoring, manufacturing or energy. Ethical issues will be paid due attention when considering the enabled solutions. The target is TRL 2 to 4, tackling hard technology challenges with results ready for full scale deployment in the next 5 years.The work will complement the ECSEL JU support that focuses on higher TRLs.The Commission considers that proposals requesting a contribution from the EU of between EUR 2 and 4 million would allow this area to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.b. Coordination and Support ActionsThe objective is to complement R&I activities by structuring industrial cooperation and facilitating end-user adoption for the next generations of miniaturised smart objects and systems. Proposals should include one or more of the following actions:The Commission considers that proposals requesting a contribution from the EU of between EUR 0.5 and 1 million would allow this area to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Proposals should address one or more of the following impact criteria and provide metrics to measure and monitor success.a. Research and Innovation Actionsb. Coordination and Support Actions""","""theme"""
"""""Smart anything everywhere"" stands for the next wave of products that integrate digital technology inside. A major challenge is to accelerate the design, development and uptake of advanced digital technologies by European industry, especially among them many SMEs and mid-caps in products that include innovative electronic components, software and systems[1].a. Innovation Actions should address all of the following three aspects.Innovation actions are expected to focus on one or more of the following four areas of technologies. Selected projects are expected to collaborate on building the European ""Smart Anything Everywhere"" ecosystem:The Commission considers that proposals requesting a contribution from the EU of up to 7 million would allow areas (1), (2) and (3) to be addressed appropriately. The Commission considers that proposals requesting a contribution from the EU of up to 3.5 million would allow area (4) to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts. At least one innovation action is supported for each area of technologies.b. Coordination and Support actionsThe aim is to reinforce the collaboration between the actions supported under this initiative, to increase the outreach of these actions and their impact and to achieve a wider coverage of stakeholders in technological, application, innovation, and geographic terms. Tasks and services should include maintaining a single innovation portal for newcomers; sharing of best practices and experiences; dissemination; identifying new innovative ICT technologies that can benefit from this scheme, brokering between users and suppliers; leveraging further investment by creating linkages with regional/national initiatives and by stimulating organic growth.The Commission considers that proposals requesting a contribution from the EU of up to 1 million would allow this area to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Proposals should address all of the following impact criteria, providing metrics to measure success when appropriate.[1]For an overview of already existing projects in this initiative see www.smartanythingeverywhere.eu/[2]In line with Article 23 (7) of the Rules for Participation the amounts referred to in Article 137 of the Financial Regulation may be exceeded, and if this is the case proposals should explain why this is necessary to achieve the objectives of the action.[3]Including EuroPractice-type actions""","""theme"""
"""Information and Communication Technologies are becoming a core component of products in all market sectors. The trend towards “Smart Anything Everywhere” must be supported by innovations allowing a very significant reduction of the cost and complexity of software development for modern architectures, and of the energy footprint of computation and communication.Software development is the key challenge, because current programming tools do not fully support emerging system architectures. Massively parallel and heterogeneous systems are difficult to program and to optimise dynamically for the multiple conflicting criteria imposed by the application domain like performance, energy efficiency, dependability, real-time response, resiliency, fault tolerance and certifiability.The reference markets are cyber-physical systems, industrial and professional applications, Internet of Things, connected smart objects and all the application areas where very low energy consumption is essential and where non-functional requirements like guaranteed performance, high reliability levels or hardware-enforced security may be critical. a. Research and Innovation ActionsProgramming environments and toolboxes for low energy and highly parallel computing: Proposals will provide programming environments and tools optimised for specific application domains of significant economic value, covering the complete software stack from runtime systems to application programming. The solutions proposed will support modern system architectures possibly including those based on heterogeneous processors while allowing for optimization of energy, performance, reliability, time predictability and system cost. All the activities needed in software development should be addressed when relevant; e.g.: remote collaboration, debugging and bug tracking, runtime software analysis. Model-based approaches and reuse and extension of existing platforms, libraries, frameworks and tools are encouraged, resulting ideally in complete solutions which are practically usable for application development for real-world use cases.Security by design features allowing applications to be resilient to cyber-attacks are encouraged to be part of the proposed technology, as well as features for energy-aware solutions and for tolerating hardware and software errors while guaranteeing the required service level.Solutions will be demonstrated in real-life applications through at least two different use cases complementing each other, and will provide significant and measurable improvements over state-of-the-art methods and technologies in productivity, software quality and energy consumption.The Commission considers that proposals requesting a contribution from the EU of between EUR 4 and 6 million would allow this area to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.b. Coordination and Support Activities for structuring and connecting the European academic and industrial research and innovation communities. Activities will include (e.g.) cross-sectorial industrial platform-building, constituency building and consultations, clustering of related projects, and road-mapping for future research and innovation agendas.Proposals should address one or more of the following impact criteria, providing metrics to measure success where appropriate.""","""theme"""
"""Recent trends in cloud computing go towards the development of new paradigms (heterogeneous, federated, distributed clouds) as opposed to the current centralised model, with tight interactions between the computing and networking infrastructures. The challenge is to address, from the research and experimentation perspectives, the necessary evolution in cloud architectures, cloud networking, deployment practices and run-time management as well as the associated security and privacy needs. The ambition is to increase the uptake of cloud technology by providing the robustness, trustworthiness, and performance required for applications currently considered too critical to be deployed on existing clouds. From the innovation side, the challenge is in fostering the provision and adoption of competitive, innovative, secure and reliable cloud computing services by SMEs and public sector organisations across Europe. Mastering these trends in cloud computing will contribute towards a connected Digital Single Market[1].a. Research and Innovation ActionsNew paradigms: proposals may cover one or more of the themes identified below, but not necessarily all of them.The Commission considers that proposals requesting a contribution from the EU of between EUR 3 and 5 million would allow these areas to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.b. Innovation ActionsProposals should cover one of the themes identified below:The Commission considers that proposals requesting a contribution from the EU of between EUR 2 and 4 million would allow this area to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.Increase Europe's technological capacity and competitiveness through the development of advanced cloud solutions. Proposals should provide appropriate metrics for the claimed impacts.[1]http://ec.europa.eu/priorities/digital-single-market/docs/dsm-communication_en.pdf[2]FIRE means Future Internet Research & Experimentation (http://cordis.europa.eu/fp7/ict/fire/)""","""theme"""
